,TotalLivArea,OverallQual,ExterQual,GrLivArea,KitchenQual,TotalBsmtSF,GarageArea,GarageCars,1stFlrSF,TotalBath,BsmtQual,FireplaceQu,Foundation_PConc,FullBath,MasVnrArea,TotRmsAbvGrd,Fireplaces,BsmtFinType1_GLQ,HeatingQC,Neighborhood_NridgHt,Age,GarageFinish_Unf,RemodeledAge,MSZoning_RM,MSZoning_RM,SalePrice
0,2204.0,6,4,1479,4,725.0,475.0,2.0,725,2.5,3,0,0,2,289.0,6,0,1,5,0,34,0,29,0,0,130500
1,3035.0,7,4,2122,4,913.0,559.0,2.0,913,3.5,4,3,1,2,132.0,8,1,1,5,0,13,0,1,0,0,220000
2,2114.0,5,3,1057,4,1057.0,246.0,1.0,1057,2.0,3,0,0,1,0.0,5,0,1,3,0,57,1,54,0,0,109000
3,1828.0,5,3,1444,3,384.0,400.0,2.0,744,2.5,4,0,1,2,0.0,7,0,0,4,0,4,0,1,0,0,174000
4,2121.0,6,3,1445,3,676.0,484.0,2.0,831,2.0,2,0,1,2,0.0,6,0,0,3,0,110,1,93,0,0,138500
5,3405.0,6,4,1888,4,1517.0,578.0,2.0,1888,2.5,3,4,0,2,0.0,6,1,0,5,0,44,0,36,0,0,190000
6,1619.0,6,3,1072,3,547.0,525.0,2.0,1072,3.0,4,0,1,2,82.0,5,0,1,4,0,1,0,1,1,1,140000
7,2376.0,5,3,1188,3,1188.0,531.0,2.0,1188,2.0,3,0,0,1,180.0,6,0,0,2,0,51,0,0,0,0,142000
8,1848.0,5,3,924,3,924.0,420.0,1.0,924,1.0,3,0,0,1,0.0,6,0,0,3,0,55,1,0,0,0,112500
9,3120.0,5,3,2080,2,1040.0,504.0,2.0,1040,2.5,4,3,1,1,192.0,9,2,0,3,0,38,1,0,0,0,135000
10,1470.0,6,3,987,3,483.0,264.0,1.0,483,1.5,3,0,0,1,232.0,4,0,0,3,0,37,1,0,1,1,85400
11,2416.0,7,4,1208,4,1208.0,632.0,2.0,1208,2.0,4,0,1,2,0.0,6,0,1,5,0,1,0,0,0,0,183600
12,2016.0,5,4,2016,3,0.0,576.0,2.0,1288,1.0,0,3,1,1,0.0,7,1,0,5,0,129,1,127,0,0,131000
13,2567.0,8,4,1607,4,960.0,480.0,2.0,962,3.5,4,0,1,2,456.0,7,0,1,5,0,9,1,1,0,0,200000
14,2712.0,7,4,1361,4,1351.0,610.0,2.0,1361,2.0,4,0,1,2,0.0,6,0,1,5,0,1,0,0,0,0,193000
15,2860.0,5,3,1430,4,1430.0,624.0,2.0,1430,2.0,5,0,1,2,0.0,7,0,0,5,0,6,0,1,0,0,173500
16,1968.0,5,3,1344,3,624.0,513.0,3.0,624,1.0,3,0,0,1,0.0,7,0,0,2,0,92,1,34,1,1,98000
17,2242.0,5,3,1121,3,1121.0,480.0,2.0,1121,2.0,3,0,1,1,0.0,5,0,0,3,0,46,1,0,0,0,139000
18,1945.0,6,3,1285,3,660.0,528.0,2.0,1285,1.5,3,3,0,1,148.0,7,1,0,5,0,30,0,0,0,0,143500
19,2303.0,7,3,1547,4,756.0,614.0,2.0,764,2.5,4,0,1,2,0.0,7,0,1,5,0,1,1,0,0,0,215200
20,1788.0,5,3,894,3,894.0,450.0,2.0,894,1.0,4,1,0,1,0.0,5,1,0,4,0,39,0,0,0,0,129000
21,3160.0,8,4,1659,5,1501.0,499.0,2.0,1659,3.0,4,5,1,2,0.0,5,1,1,5,0,9,0,0,0,0,278000
22,3462.0,8,4,2253,5,1209.0,575.0,2.0,1209,2.5,5,4,1,2,0.0,8,1,0,5,1,1,0,1,0,0,344133
23,2355.0,6,3,1187,3,1168.0,420.0,2.0,1187,3.0,4,0,1,2,0.0,6,0,0,5,0,18,0,15,0,0,185000
24,2112.0,5,3,1056,3,1056.0,572.0,2.0,1056,2.0,3,0,0,1,0.0,5,0,0,3,0,51,0,0,0,0,145000
25,2906.0,6,3,1453,3,1453.0,530.0,2.0,1453,3.0,3,3,0,2,3.0,6,1,0,5,0,48,0,0,0,0,187500
26,1788.0,5,3,894,3,894.0,336.0,1.0,894,2.0,3,4,0,1,0.0,5,1,1,5,0,45,1,44,0,0,138500
27,2880.0,5,3,1938,4,942.0,240.0,1.0,1265,2.0,3,4,0,2,0.0,7,1,0,5,0,71,1,58,0,0,198000
28,2948.0,5,3,1991,3,957.0,0.0,0.0,1034,2.0,3,0,0,2,0.0,9,0,0,2,0,112,0,111,0,0,119600
29,1596.0,5,3,924,3,672.0,576.0,2.0,672,1.0,3,1,0,1,0.0,6,1,0,5,0,58,1,57,0,0,122900
30,5048.0,8,4,2524,4,2524.0,542.0,2.0,2524,3.5,4,4,1,2,0.0,9,1,0,3,0,28,0,0,0,0,278000
31,2309.0,8,3,1517,4,792.0,400.0,2.0,792,1.0,4,4,1,1,0.0,7,2,0,2,0,77,1,21,0,0,230000
32,2988.0,8,4,1494,5,1494.0,481.0,2.0,1494,2.5,4,4,1,1,0.0,6,1,0,5,0,11,0,1,0,0,270000
33,1896.0,6,3,948,3,948.0,410.0,2.0,948,1.0,3,0,0,1,0.0,5,0,0,3,0,55,1,0,0,0,125000
34,3423.0,8,4,1718,4,1705.0,826.0,3.0,1718,3.0,5,4,1,2,336.0,7,1,1,5,0,2,0,1,0,0,297000
35,1302.0,6,3,1142,3,160.0,384.0,1.0,1142,1.0,4,4,0,1,82.0,5,1,0,2,0,51,0,0,0,0,113500
